title,content
Oxagon,"Oxagon, the floating coastal city of NEOM, directly connects residents and businesses to global markets.
Launched by His Royal Highness Crown Prince Mohammed bin Salman in 2021, Oxagon is a revolutionary industrial city located in the southwest of NEOM, designed around the principles of the circular economy.
Situated strategically on the Red Sea, where 13% of global trade passes, Oxagon features an integrated port and logistics hub connecting three continents. It offers a seamless blend of living, business, and technology — all in harmony with nature.
Its Industrial District provides manufacturers with direct access to NEOM’s development markets, renewable energy, smart city infrastructure, and an innovation hub.
At Oxagon Innovation Bay, inventors, entrepreneurs, and researchers will collaborate to accelerate the journey from idea to market, creating a global hub for advanced technologies and sustainable industries."
Made in Saudi,"The ""Made in Saudi Arabia"" program encourages local companies to expand their businesses, leverage the program's benefits to market their products to a wider audience, and engage with consumers interested in Saudi products and companies.

""Made in Saudi Arabia"" was launched in 2021 through the National Industrial Development and Logistics Program and the Saudi Export Development Authority. It aims to encourage local talent, innovation, and national products, enhance the ability of local companies to expand their reach, promote their products locally and globally, and support the national economy and entrepreneurship in the Kingdom.

The program supports Saudi products and services as the preferred choice for local and international consumers. It not only encourages citizens to purchase locally made products, but also enhances the Kingdom's position as a global industrial destination that attracts investment. It contributes to increasing non-oil exports to 50% of non-oil GDP by 2030.

The program enables partnering companies to use the ""Made in Saudi Arabia"" logo and project a positive image of the Kingdom around the world.

Discover how Saudi Vision 2030 is working to achieve and build a diversified and sustainable Saudi economy.
About Made in Saudi Arabia
Under the generous patronage of His Royal Highness Prince Mohammed bin Salman bin Abdulaziz, Crown Prince, Minister of Industry and Mineral Resources, Bandar bin Ibrahim Alkhorayef, launched the Made in Saudi Arabia program on Sha'ban 15, 1442 (March 28, 2021).

The Made in Saudi Arabia program is a national initiative launched by the Saudi Export Development Authority as part of the National Industrial Development and Logistics Program. It aims to stimulate national industries, encourage consumers to purchase local goods, and develop and enhance the Kingdom's exports to global markets.

The Made in Saudi Arabia program is committed to building a unified industrial brand to provide promising opportunities for companies, expand their business, and promote their products locally and globally.

It serves as an opportunity to celebrate technological innovations and creative talents and reflects the Kingdom's ambitious vision for the national economy. The program contributes to enhancing cooperation among participating manufacturers, thus driving the national economy.

The use of the Made in Saudi Arabia logo on Saudi companies' products also contributes to enhancing the Kingdom's global image."
Partner Program Center,"The Shareek Program Center is a program specifically designed to support large companies with the aim of enabling the growth of private sector investments in the Kingdom of Saudi Arabia and contributing to the development of the Saudi economy.

His Royal Highness Prince Mohammed bin Salman, Crown Prince and Prime Minister, launched the Shareek Program Center in 2021 to enhance partnerships with the private sector. The program aims to contribute to achieving the Kingdom of Saudi Arabia's economic development goals by enabling private sector investments.

By providing dedicated support to companies that meet the program's criteria and helping them increase their investment volume, accelerate project implementation, and explore new investment opportunities, the Shareek Program Center aims

to increase domestic private sector investments to SAR 5 trillion by 2030, contributing to achieving the Kingdom's Vision 2030 goal of raising the private sector's contribution to the GDP to 65%.

In March 2023, the Shareek Program Center announced the first package of supported projects across four key sectors. These 12 projects hold significant strategic and economic importance for the Kingdom, contributing to diversifying industries, enhancing innovation, and creating more than 64,000 job opportunities by 2040. These investments total SAR 192 billion, of which SAR 120 billion are invested by large companies. The impact of these investments on the GDP is expected to exceed SAR 466 billion by 2040.

The Partner Program Center focuses on major private sector companies in the Kingdom, while simultaneously positively and comprehensively impacting the economy and directly contributing to the prosperity and growth of the Kingdom's economy, thereby realizing the goals of Vision 2030.

Learn more about the role of Saudi Vision 2030 in advancing the Saudi economy and providing a promising future for all."
Special Economic Zones,"The Kingdom supports the diversification of its economy through five special economic zones, contributing to the development of the non-oil sector and increasing the gross domestic product (GDP), in line with the goals of Saudi Vision 2030. These zones are among the most prominent initiatives of the National Investment Strategy, which aims to expand investment horizons by attracting quality investments, transferring technology, and developing strategic sectors.

His Royal Highness Prince Mohammed bin Salman bin Abdulaziz, Crown Prince and Prime Minister, launched four new special economic zones in 2023. These zones contribute to the development and diversification of the economy and improve the investment environment, enhancing the Kingdom's position and making it a leading global investment destination, in line with the goals of Saudi Vision 2030.

These zones are organizationally affiliated with the Special Economic Cities and Zones Authority (ECZA) and enjoy special competitive and legislative advantages, including financial incentives and a ""single window"" service that simplifies the entire investment experience by providing companies with a single platform for all government services.

The Kingdom will open new horizons for development by exploiting the competitive advantages and strategic locations of these zones. To support vital and promising sectors, enhance the Kingdom's competitiveness and industrial renaissance, which will drive economic growth and strengthen the Kingdom's entrepreneurial spirit, while also developing local talent by attracting investments that provide job opportunities and transfer expertise."
Etah,"The Kingdom is one of the fastest-growing G20 countries and boasts a vibrant and rapidly growing technology sector. The launch of the Alat Company was launched to stimulate the sector and develop advanced industries and electronics that embrace a sustainable approach.

Alat Company, launched by His Royal Highness Prince Mohammed bin Salman bin Abdulaziz Al Saud, Crown Prince and Prime Minister, in 2024, supports the industrial transformation in the Kingdom by providing an investment environment that empowers the private sector and strengthens local supply chains, positioning the Kingdom as a global hub for advanced industries and electronics.

Alat Company is committed to providing sustainable industrial solutions based on clean energy sources, contributing to the global transformation of the industrial sector and achieving the Kingdom's goal of achieving net zero energy by 2060, keeping pace with the needs of future sectors and the new generation of industry.

Alat specializes in manufacturing more than 30 categories serving vital and promising sectors through nine business units: semiconductors, smart devices, smart buildings, smart home devices, smart health, advanced industries, next-generation infrastructure, electrical transformation, and artificial intelligence infrastructure.

Alat intends to enhance the capabilities of the technology sector, increase investment opportunities, promote local content, localize expertise, develop competencies, and create quality jobs. This will achieve integration and support efforts aimed at achieving comprehensive industrial development that contributes to economic diversification.

Discover how Saudi Vision 2030 is contributing to the development of promising sectors and transforming the Kingdom into a global hub for advanced industries and electronics."
Hummain,"Humane was launched to develop and manage artificial intelligence solutions and technologies, and to lead investment and development efforts in the sector. One of the company's objectives is to build a future with intelligent systems that enhance the growth of the digital economy and consolidate the Kingdom's digital leadership.

The Public Investment Fund has invested in artificial intelligence technologies through Humane, which aims to develop an integrated digital ecosystem, including advanced data centers, cloud computing, innovative models, and pioneering applications and solutions. This ecosystem drives the growth of the digital economy in strategic sectors such as energy, healthcare, industry, and financial services.

Humine is developing one of the best large language models (LLMs) in Arabic, along with a new generation of data centers and cloud computing infrastructure. This will open up broad horizons for enriching Arabic content and position the Kingdom as a leader in capacity building and delivering AI applications and solutions regionally and internationally.

The company's business focuses on four tracks within Humane: providing diverse solutions and applications based on continuous expansion and development; This helps create impact and transformation across various sectors. In addition to building large, integrated AI language models capable of interacting and adapting, including alignment with culture, language, and values, it also contributes to the creation of smart platforms that manage data and provide qualitative analysis that supports decision-making, according to the highest security standards. In addition, it provides infrastructure services embodied in cloud services and data centers, which include secure storage, ultra-fast data transfer, and high flexibility, including model training and data analysis.

The company is an extension of the steps aimed at consolidating the Kingdom's position in the digital economy and innovation. It does so through local and global partnerships that create investment opportunities that attract capital and the best talent, contributing to the development of qualified national cadres and capabilities that will lead the sector to further prosperity."
Red Sea International,"Discover the adventure and natural treasures of the Red Sea, the luxury tourist destination on the west coast of the Kingdom of Saudi Arabia.

The enchanting destination, spanning 28,000 square kilometers along the Kingdom's west coast, encompasses a collection of lands and lagoons, more than 90 pristine islands, pristine beaches, and a wealth of natural wonders, including extinct volcanoes, sand dunes, and breathtaking mountains. The destination is home to the world's fourth-largest thriving coral reef, boasting numerous marine habitats and breathtaking coral reefs that are unparalleled in the world.

The Red Sea destination is not only a magical destination for tourism seekers; it also boasts hidden, undiscovered historical and cultural sites and a rich heritage.

When fully completed by 2030, the destination is scheduled to include 50 resorts offering 8,000 hotel rooms, in addition to more than 1,000 residential properties.

Discover how Saudi Vision 2030 is shaping the future of the Kingdom's travel and tourism sector, showcasing its enchanting natural treasures and offering unparalleled, exciting experiences.

The Red Sea Development Company (RSG)
Where luxury, sustainability, and innovation meet to redefine development. We are pioneering a new model for development and tourism, putting people and nature first to deliver projects that enhance the well-being of visitors, communities, and the environment.

Our portfolio includes six world-leading destinations spanning the western coast of Saudi Arabia. The first resort at the Red Sea destination opened in 2023. The 16 resorts in the first phase of the project will open in phases during 2024 and 2025, bringing the total number of resorts to 50 upon completion in 2030. Thuwal Private Resort opened as a single-resort destination in 2024. The first phase of the Amaala project, comprising eight resorts, will open in 2025, with the entire project scheduled for completion in 2030, with 30 resorts.

These responsible tourism destinations will mark a milestone in luxury tourism and sustainability in Saudi Arabia, laying a strong foundation for environmental protection and enhancement for future generations.

The Red Sea Development Company is working on new projects along the coast, which will be announced soon. The Red Sea Development Company, owned by the Public Investment Fund of Saudi Arabia (PIF) and chaired by His Royal Highness Crown Prince Mohammed bin Salman bin Abdulaziz Al Saud, is a cornerstone of Saudi Vision 2030 and plays a pivotal role in transforming the country by providing tremendous economic opportunities for the Saudi people and enhancing the Kingdom's rich environmental and cultural heritage."
Diriyah Gate,"Explore over 600 years of authentic culture and history, inspired by unique and inspiring heritage experiences, and benefit from exciting educational and cultural opportunities, as well as enjoy residential neighborhoods that are aligned with a global lifestyle in the distinctive Diriyah Gate project.

Diriyah is located 15 minutes northwest of the capital, Riyadh. It is home to the historic At-Turaif district, a UNESCO World Heritage Site. A magnificent example of artistic architecture, At-Turaif is a historic residential neighborhood built from mud brick in the traditional Najdi style. It is considered the cradle of the Saudi state and the stronghold of the ruling family. With an exceptional blend of ancient history and modern landmarks, visitors connect with the place and discover new aspects and experiences that reflect the richness of Saudi history and the deep values ??rooted in its land and people.

The Diriyah Project, a megaproject owned by the Public Investment Fund, is valued at more than SAR 236 billion. It offers unique opportunities for tourism, housing, work, shopping, and dining, while celebrating authentic Saudi heritage and rich culture. Designed as a sustainable cultural and heritage landmark, Diriyah's initiatives focus on water conservation, energy efficiency, health, cultural and heritage preservation, and climate change resilience. Visitors will be able to walk 100% of the site, enhancing the health of the population.

Learn more about how Saudi Vision 2030 is protecting and preserving historical sites across the Kingdom."
AMAALA,"AMAALA, the destination for tourism, takes you to a world of art, creativity, and sophistication, on an exceptional recreational journey along the pristine shores of the Red Sea, offering guests unique and exciting experiences.

AMAALA is a luxury tourism destination being developed across an area exceeding 4,000 square kilometers, along the Red Sea coast in the northwest of the Kingdom. It offers exciting and amazing activities that combine all interests: sea, sun, sports, arts, and culture, ensuring guests enjoy a once-in-a-lifetime experience.

The first phase of AMAALA's development focuses on the Triple Bay masterplan, which includes eight resorts offering 1,300 hotel rooms. The first phase is scheduled to open in 2024.

Upon completion in 2027, the project will feature more than 3,000 hotel rooms across 25 hotels, 934 residential villas, apartments, and luxury townhouses, along with upscale retail, fine dining, and sports and entertainment facilities.

Located in the Prince Mohammed bin Salman Nature Reserve, AMAALA places sustainability at the forefront. Only 5% of the area will be used for development, while the rest will be conserved. This protects the region's diverse ecosystems and preserves local heritage and culture. The project will be powered by 100% renewable energy, and the city will be carbon-neutral, with no waste or landfill.

AMAALA offers exceptional standards of hospitality, leisure, and sustainability, and a new way of life filled with luxury.

Discover how Saudi Vision 2030 is shaping the future of the Kingdom's travel and tourism sector by showcasing its enchanting natural treasures and offering unparalleled, exciting experiences."
Prince Mohammed bin Salman Historic Mosques Development,"The Prince Mohammed bin Salman Project for the Development of Historic Mosques preserves the identity of the Kingdom's architectural heritage and consolidates the aesthetics of local architecture through the restoration and development of 130 of the Kingdom's most historically, culturally, and socially significant mosques.

His Royal Highness Prince Mohammed bin Salman, Crown Prince and Prime Minister, launched the project in 2018 to preserve Saudi Arabia's architectural identity and share the Kingdom's culture and cultural heritage with the world.

A team of heritage building experts and specialists restored 30 valuable and important mosques across the Kingdom, paying attention to the unique architectural character of each mosque and achieving authenticity and integrity.

The first phase of the project was not limited to the restoration of historic mosques alone. It also constituted an important architectural practice that serves as a reference for the development and construction of modern mosques, infusing them with architectural vocabulary and details that reflect an extension of traditional architecture.

The architectural restoration of historic mosques enriches pilgrims' spiritual and cultural experiences during their journey to the Kingdom, reflecting the pride of continuing to develop Islamic heritage landmarks and historical sites and sharing them with the world."
Central Jeddah,"The Jeddah Central project is transforming the coastal Saudi city into a global destination by developing it, supporting its ambitions, and strengthening its economy.

His Royal Highness Crown Prince Mohammed bin Salman launched the Jeddah Central project in 2021, preserving its rich heritage while blending it with contemporary developments. The project includes four prominent landmarks: an opera house, museums, a sports stadium, and aquariums. It also includes a marina, beach resorts, restaurants, cafes, diverse shopping options, and modern residential areas. The SAR 75 billion project will see the development of 5.7 million square meters in the heart of Jeddah.

The project is being implemented in three phases, with the first phase scheduled for completion by the end of 2027. This will see the completion of three of the four main landmarks (the aquariums, the stadium, and the opera house), in addition to several other key elements of the project's master plan, such as the public beach and marina, representing 45% of the entire project. The second phase, representing 36% of the project, will be completed by the end of 2030, leaving 19% to be developed and implemented after 2030.

Learn more about the role of Saudi Vision 2030 in building bridges between history and the future to create innovative cultural experiences across the Kingdom."
Al-Soudah Development,"Al-Soudah is a green jewel and a unique tourist destination atop the highest peak in the Kingdom of Saudi Arabia.

His Royal Highness Prince Mohammed bin Salman bin Abdulaziz, Crown Prince, Prime Minister, and Chairman of the Board of Directors of the Public Investment Fund, launched Al-Soudah Development Company to drive the tourism and entertainment sectors and stimulate economic growth in the Asir region.

In partnership with investors and the public and private sectors, Al-Soudah Development Company seeks to develop a luxurious mountain destination offering diverse residential and entertainment options. It also oversees regulatory and legislative responsibility to preserve the environment, cultural and human heritage, urban development, and achieve sustainability in the region. The region will offer numerous opportunities for local and international investors.
The project area is located in the southwest of the Kingdom of Saudi Arabia and includes the highest peak in the Kingdom, reaching 3,015 meters above sea level. Due to its high elevations, Al-Soudah enjoys a temperate climate and a unique atmosphere. This makes Al-Soudah's weather unique, especially in the summer, characterized by moderate coolness, heavy rainfall, and dense vegetation.

Visitors to the region will enjoy the impact of the Al Soudah development project, creating rich experiences for nature and tranquility lovers, sports and adventure enthusiasts, and cultural and heritage explorers. The region will be a luxurious mountain tourist destination year-round.

Al Soudah Development Company makes environmental protection and the preservation of natural resources a top priority. The company will also contribute to supporting the objectives of the Public Investment Fund.

To achieve Saudi Vision 2030 by developing the tourism and entertainment sectors in the Kingdom."
Al-Ula,"Discover AlUla, a masterpiece of human and natural heritage; a museum featuring unique sandstone formations, historical monuments, and tombs preserved throughout the ages.

AlUla offers visitors an unforgettable journey through time, as it is home to the Kingdom's first UNESCO World Heritage Site and numerous cultural treasures.

Its history dates back more than 200,000 years, most of which remains unexplored. Among the most significant discoveries are the Nabataean city of Hegra and Dadan, the capital of the ancient kingdoms of Dadan and Lihyan.

The Royal Commission for AlUla is committed to a sustainable and responsible approach to the urban, economic, and heritage development of the region, while preserving its distinctive natural and historical features. It is also spearheading numerous initiatives in the fields of archaeology, tourism, culture, education, and the arts to prepare this exceptional destination for visitors from around the world.

Discover how Saudi Arabia has become a distinguished global destination for historical, heritage, and cultural tourism."
The Rig,"The RIG project is a qualitative addition to the Kingdom's tourism projects, offering visitors exceptional hospitality and entertainment experiences in a unique destination in the Arabian Gulf.

The RIG project is one of the Public Investment Fund's projects, launched in 2021. This project aims to stimulate the growth of the tourism sector and enhance its economic role by creating and developing destinations rich in tourism and entertainment experiences, contributing to consolidating the Kingdom's global tourism position. The Oil Park Development Company is leading the project's development, achieving the goals of Saudi Vision 2030, which aim to attract quality investments to stimulate the growth of promising sectors and create job opportunities.

The project extends over an area of ????more than 300,000 square meters, located 40 km from the coast near Al-Juraid Island and the Al-Bari oil field. Its design celebrates the Kingdom's history and heritage in the oil and gas sector, inspired by oil platforms. It can be reached from Dammam and Jubail Industrial City by speedboats, helicopters, and seaplanes.

To enrich visitors' stay, The project includes three hotels with 800 rooms, 11 restaurants, and a range of retail outlets. It also boasts a variety of entertainment options, providing a competitive advantage and attracting adventure seekers through various marine activities, including exploratory experiences in the waters of the Arabian Gulf.

Ensuring the highest global standards and practices in sustainability is a priority. This includes preserving the marine environment and developing the local community surrounding the project, contributing to an enhanced quality of life.

Discover how Saudi Vision 2030 is driving innovation in the tourism and entertainment industry, providing new and exciting experiences for visitors, and creating opportunities for economic growth."
Trogena,"Trojena is a year-round mountain tourism destination offering a range of adventure sports, outdoor skiing activities, and exceptional tourism experiences, including a variety of options for nature hikes and virtual adventures.

His Royal Highness Prince Mohammed bin Salman, Crown Prince and Prime Minister, launched the Trojena project in 2022 as a sustainable mountain tourism destination, integrating natural landscapes with unique architecture and advanced technologies. Trojena will offer unparalleled experiences and will host global festivals and events such as the 2029 Asian Winter Games.

Other prominent projects in NEOM include The Line, Oxagon, and Sindalah.

Learn more about how Saudi Vision 2030 is transforming the future of tourism and positioning the Kingdom as a global tourism destination."
Sandala,"Sindalah Island is an ideal destination for luxury marine tourism, where natural beauty blends with sustainable engineering design, architecture, and advanced technology.

His Royal Highness Prince Mohammed bin Salman, Crown Prince and Prime Minister, launched the Sindalah Island development project in NEOM in 2022, as a global destination for luxury marine tourism and yachting enthusiasts. In addition to serving as a tourist gateway to the Red Sea, Sindalah will adhere to the highest standards of sustainability and nature conservation.

Sindalah is one of NEOM's most prominent landmarks, along with The Line, Oxagon, and Trojena.

Discover how Saudi Vision 2030 is shaping the future of travel and tourism through breathtaking treasures and exciting experiences."
